[INFO][2020-02-20 22:08:27,913][worker.py][__init__][50] Worker initialized in 127.0.1.1
[DEBUG][2020-02-20 22:08:28,165][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:28,170][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:28,425][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:28,431][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:28,681][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:28,687][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:28,940][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:28,946][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:29,198][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:29,204][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:29,456][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:29,461][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:29,711][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:29,715][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:29,965][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:29,969][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:30,221][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:30,226][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:30,478][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:30,483][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:30,734][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:30,738][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:30,988][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:30,993][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:31,243][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:31,248][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:31,500][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:31,504][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:31,755][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:31,760][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:32,011][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:32,016][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:32,265][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:32,270][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:32,521][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:32,526][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:32,775][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:32,780][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:33,029][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:33,034][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:33,289][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:33,295][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:33,546][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:33,551][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:33,802][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:33,807][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:34,057][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:34,061][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:34,323][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:34,329][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:34,581][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:34,587][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:34,839][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:34,845][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:35,099][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:35,105][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:35,357][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:35,363][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:35,617][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:35,624][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:35,876][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:35,882][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:36,135][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:36,141][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:36,395][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:36,401][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:36,653][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:36,660][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:36,914][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:36,920][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:37,171][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:37,177][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:37,431][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:37,437][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:37,689][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:37,694][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:37,948][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:37,954][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:38,207][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:38,212][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:38,464][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:38,468][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:38,720][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:38,724][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:38,975][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:38,980][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:39,232][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:39,236][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:39,488][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:39,493][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:39,744][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:39,748][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:39,999][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:40,003][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:40,257][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:40,263][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:40,520][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:40,525][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:40,775][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:40,780][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:41,030][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:41,034][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:41,287][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:41,291][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:41,545][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:41,550][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
[DEBUG][2020-02-20 22:08:41,803][connectionpool.py][_new_conn][208] Starting new HTTP connection (1): localhost
[DEBUG][2020-02-20 22:08:41,807][connectionpool.py][_make_request][396] http://localhost:20000 "POST /save HTTP/1.1" 200 3
